Drug	Indication	drug_name	drug_id	ind_name	ind_id	sem_type	TrialStatus	status	phase	DetailedStatus
"<a href=""http://www.drugbank.ca/drugs/DB00576"" target=""_blank"">Sulfamethizole (DBID: DB00576)</a>"	Klebsiella cystitis (CUI: C0520775)	Sulfamethizole	DB00576	Klebsiella cystitis	C0520775	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00576"" target=""_blank"">Sulfamethizole (DBID: DB00576)</a>"	Escherichia coli urinary tract infection (CUI: C0577708)	Sulfamethizole	DB00576	Escherichia coli urinary tract infection	C0577708	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00576"" target=""_blank"">Sulfamethizole (DBID: DB00576)</a>"	Bacterial urinary infection (CUI: C0729524)	Sulfamethizole	DB00576	Bacterial urinary infection	C0729524	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00576"" target=""_blank"">Sulfamethizole (DBID: DB00576)</a>"	Infective otitis media (CUI: C0729586)	Sulfamethizole	DB00576	Infective otitis media	C0729586	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00576"" target=""_blank"">Sulfamethizole (DBID: DB00576)</a>"	Acute otitis media (CUI: C0271429)	Sulfamethizole	DB00576	Acute otitis media	C0271429	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00576"" target=""_blank"">Sulfamethizole (DBID: DB00576)</a>"	Shigella Infections (CUI: C0013371)	Sulfamethizole	DB00576	Shigella Infections	C0013371	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00577"" target=""_blank"">Valaciclovir (DBID: DB00577)</a>"	Herpes zoster disease (CUI: C0019360)	Valaciclovir	DB00577	Herpes zoster disease	C0019360	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00577"" target=""_blank"">Valaciclovir (DBID: DB00577)</a>"	Recurrent genital herpes simplex (CUI: C1274323)	Valaciclovir	DB00577	Recurrent genital herpes simplex	C1274323	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00577"" target=""_blank"">Valaciclovir (DBID: DB00577)</a>"	Herpes Labialis (CUI: C0019345)	Valaciclovir	DB00577	Herpes Labialis	C0019345	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00577"" target=""_blank"">Valaciclovir (DBID: DB00577)</a>"	Chickenpox (CUI: C0008049)	Valaciclovir	DB00577	Chickenpox	C0008049	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00577"" target=""_blank"">Valaciclovir (DBID: DB00577)</a>"	Genital Herpes (CUI: C0019342)	Valaciclovir	DB00577	Genital Herpes	C0019342	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00578"" target=""_blank"">Carbenicillin (DBID: DB00578)</a>"	prostatitis (CUI: C0033581)	Carbenicillin	DB00578	prostatitis	C0033581	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00578"" target=""_blank"">Carbenicillin (DBID: DB00578)</a>"	Escherichia coli urinary tract infection (CUI: C0577708)	Carbenicillin	DB00578	Escherichia coli urinary tract infection	C0577708	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00578"" target=""_blank"">Carbenicillin (DBID: DB00578)</a>"	Proteus urinary tract infection (CUI: C0577709)	Carbenicillin	DB00578	Proteus urinary tract infection	C0577709	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00578"" target=""_blank"">Carbenicillin (DBID: DB00578)</a>"	Urinary tract infection (CUI: C0042029)	Carbenicillin	DB00578	Urinary tract infection	C0042029	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00578"" target=""_blank"">Carbenicillin (DBID: DB00578)</a>"	URINARY TRACT INFECTION ENTEROCOCCUS (CUI: C0749958)	Carbenicillin	DB00578	URINARY TRACT INFECTION ENTEROCOCCUS	C0749958	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00578"" target=""_blank"">Carbenicillin (DBID: DB00578)</a>"	Bacterial urinary infection (CUI: C0729524)	Carbenicillin	DB00578	Bacterial urinary infection	C0729524	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00579"" target=""_blank"">Mazindol (DBID: DB00579)</a>"	Obesity (CUI: C0028754)	Mazindol	DB00579	Obesity	C0028754	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00581"" target=""_blank"">Lactulose (DBID: DB00581)</a>"	Hepatic Encephalopathy (CUI: C0019151)	Lactulose	DB00581	Hepatic Encephalopathy	C0019151	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00581"" target=""_blank"">Lactulose (DBID: DB00581)</a>"	Hyperammonemia (CUI: C0220994)	Lactulose	DB00581	Hyperammonemia	C0220994	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00581"" target=""_blank"">Lactulose (DBID: DB00581)</a>"	Constipation (CUI: C0009806)	Lactulose	DB00581	Constipation	C0009806	Sign or Symptom	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00582"" target=""_blank"">Voriconazole (DBID: DB00582)</a>"	Fusariosis (CUI: C0276758)	Voriconazole	DB00582	Fusariosis	C0276758	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00582"" target=""_blank"">Voriconazole (DBID: DB00582)</a>"	Systemic candidiasis (CUI: C0153252)	Voriconazole	DB00582	Systemic candidiasis	C0153252	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00582"" target=""_blank"">Voriconazole (DBID: DB00582)</a>"	Candidiasis of the esophagus (CUI: C0239295)	Voriconazole	DB00582	Candidiasis of the esophagus	C0239295	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00582"" target=""_blank"">Voriconazole (DBID: DB00582)</a>"	Invasive Pulmonary Aspergillosis (CUI: C0276653)	Voriconazole	DB00582	Invasive Pulmonary Aspergillosis	C0276653	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00582"" target=""_blank"">Voriconazole (DBID: DB00582)</a>"	Candidemia (CUI: C0877445)	Voriconazole	DB00582	Candidemia	C0877445	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00583"" target=""_blank"">L-Carnitine (DBID: DB00583)</a>"	Carnitine deficiency (CUI: C1142132)	L-Carnitine	DB00583	Carnitine deficiency	C1142132	Finding	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00584"" target=""_blank"">Enalapril (DBID: DB00584)</a>"	Asymptomatic left ventricular systolic dysfunction (CUI: C3698411)	Enalapril	DB00584	Asymptomatic left ventricular systolic dysfunction	C3698411	Pathologic Function	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00584"" target=""_blank"">Enalapril (DBID: DB00584)</a>"	Hypertensive disease (CUI: C0020538)	Enalapril	DB00584	Hypertensive disease	C0020538	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00584"" target=""_blank"">Enalapril (DBID: DB00584)</a>"	Congestive heart failure (CUI: C0018802)	Enalapril	DB00584	Congestive heart failure	C0018802	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00585"" target=""_blank"">Nizatidine (DBID: DB00585)</a>"	Erosive esophagitis (CUI: C0267055)	Nizatidine	DB00585	Erosive esophagitis	C0267055	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00585"" target=""_blank"">Nizatidine (DBID: DB00585)</a>"	Peptic Esophagitis (CUI: C0014869)	Nizatidine	DB00585	Peptic Esophagitis	C0014869	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00585"" target=""_blank"">Nizatidine (DBID: DB00585)</a>"	Dyspepsia (CUI: C0013395)	Nizatidine	DB00585	Dyspepsia	C0013395	Sign or Symptom	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00585"" target=""_blank"">Nizatidine (DBID: DB00585)</a>"	Duodenal Ulcer (CUI: C0013295)	Nizatidine	DB00585	Duodenal Ulcer	C0013295	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00585"" target=""_blank"">Nizatidine (DBID: DB00585)</a>"	Peptic Ulcer (CUI: C0030920)	Nizatidine	DB00585	Peptic Ulcer	C0030920	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00585"" target=""_blank"">Nizatidine (DBID: DB00585)</a>"	Heartburn (CUI: C0018834)	Nizatidine	DB00585	Heartburn	C0018834	Sign or Symptom	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00585"" target=""_blank"">Nizatidine (DBID: DB00585)</a>"	Gastroesophageal reflux disease (CUI: C0017168)	Nizatidine	DB00585	Gastroesophageal reflux disease	C0017168	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00585"" target=""_blank"">Nizatidine (DBID: DB00585)</a>"	Gastric ulcer (CUI: C0038358)	Nizatidine	DB00585	Gastric ulcer	C0038358	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00586"" target=""_blank"">Diclofenac (DBID: DB00586)</a>"	Degenerative polyarthritis (CUI: C0029408)	Diclofenac	DB00586	Degenerative polyarthritis	C0029408	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00586"" target=""_blank"">Diclofenac (DBID: DB00586)</a>"	Actinic keratosis (CUI: C0022602)	Diclofenac	DB00586	Actinic keratosis	C0022602	Neoplastic Process	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00586"" target=""_blank"">Diclofenac (DBID: DB00586)</a>"	Osteoarthritis, Knee (CUI: C0409959)	Diclofenac	DB00586	Osteoarthritis, Knee	C0409959	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00586"" target=""_blank"">Diclofenac (DBID: DB00586)</a>"	Rheumatoid Arthritis (CUI: C0003873)	Diclofenac	DB00586	Rheumatoid Arthritis	C0003873	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00586"" target=""_blank"">Diclofenac (DBID: DB00586)</a>"	Dysmenorrhea (CUI: C0013390)	Diclofenac	DB00586	Dysmenorrhea	C0013390	Pathologic Function	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00586"" target=""_blank"">Diclofenac (DBID: DB00586)</a>"	Sprains and Strains (CUI: C0038048)	Diclofenac	DB00586	Sprains and Strains	C0038048	Injury or Poisoning	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00586"" target=""_blank"">Diclofenac (DBID: DB00586)</a>"	Ankylosing spondylitis (CUI: C0038013)	Diclofenac	DB00586	Ankylosing spondylitis	C0038013	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00586"" target=""_blank"">Diclofenac (DBID: DB00586)</a>"	Pain (CUI: C0030193)	Diclofenac	DB00586	Pain	C0030193	Sign or Symptom	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00588"" target=""_blank"">Fluticasone Propionate (DBID: DB00588)</a>"	Seborrheic dermatitis (CUI: C0036508)	Fluticasone Propionate	DB00588	Seborrheic dermatitis	C0036508	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00588"" target=""_blank"">Fluticasone Propionate (DBID: DB00588)</a>"	Pruritus of genital organs (CUI: C0033777)	Fluticasone Propionate	DB00588	Pruritus of genital organs	C0033777	Sign or Symptom	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00588"" target=""_blank"">Fluticasone Propionate (DBID: DB00588)</a>"	Exanthema (CUI: C0015230)	Fluticasone Propionate	DB00588	Exanthema	C0015230	Sign or Symptom	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00588"" target=""_blank"">Fluticasone Propionate (DBID: DB00588)</a>"	Allergic rhinitis (disorder) (CUI: C2607914)	Fluticasone Propionate	DB00588	Allergic rhinitis (disorder)	C2607914	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00588"" target=""_blank"">Fluticasone Propionate (DBID: DB00588)</a>"	Allergic asthma (CUI: C0155877)	Fluticasone Propionate	DB00588	Allergic asthma	C0155877	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00588"" target=""_blank"">Fluticasone Propionate (DBID: DB00588)</a>"	Granuloma Annulare (CUI: C0085074)	Fluticasone Propionate	DB00588	Granuloma Annulare	C0085074	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00588"" target=""_blank"">Fluticasone Propionate (DBID: DB00588)</a>"	Chronic small plaque psoriasis (CUI: C0406317)	Fluticasone Propionate	DB00588	Chronic small plaque psoriasis	C0406317	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00588"" target=""_blank"">Fluticasone Propionate (DBID: DB00588)</a>"	Lymphoma, T-Cell, Cutaneous (CUI: C0079773)	Fluticasone Propionate	DB00588	Lymphoma, T-Cell, Cutaneous	C0079773	Neoplastic Process	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00588"" target=""_blank"">Fluticasone Propionate (DBID: DB00588)</a>"	Lichen Simplex Chronicus (CUI: C0149922)	Fluticasone Propionate	DB00588	Lichen Simplex Chronicus	C0149922	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00588"" target=""_blank"">Fluticasone Propionate (DBID: DB00588)</a>"	Intrinsic asthma (CUI: C0155880)	Fluticasone Propionate	DB00588	Intrinsic asthma	C0155880	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00588"" target=""_blank"">Fluticasone Propionate (DBID: DB00588)</a>"	Scalp psoriasis (CUI: C0406326)	Fluticasone Propionate	DB00588	Scalp psoriasis	C0406326	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00588"" target=""_blank"">Fluticasone Propionate (DBID: DB00588)</a>"	Lupus Erythematosus, Discoid (CUI: C0024138)	Fluticasone Propionate	DB00588	Lupus Erythematosus, Discoid	C0024138	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00588"" target=""_blank"">Fluticasone Propionate (DBID: DB00588)</a>"	Pruritus Ani (CUI: C0033775)	Fluticasone Propionate	DB00588	Pruritus Ani	C0033775	Sign or Symptom	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00588"" target=""_blank"">Fluticasone Propionate (DBID: DB00588)</a>"	Contact Dermatitis (CUI: C0011616)	Fluticasone Propionate	DB00588	Contact Dermatitis	C0011616	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00588"" target=""_blank"">Fluticasone Propionate (DBID: DB00588)</a>"	Pulmonary Emphysema (CUI: C0034067)	Fluticasone Propionate	DB00588	Pulmonary Emphysema	C0034067	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00588"" target=""_blank"">Fluticasone Propionate (DBID: DB00588)</a>"	Dermatitis, Atopic (CUI: C0011615)	Fluticasone Propionate	DB00588	Dermatitis, Atopic	C0011615	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00589"" target=""_blank"">Lisuride (DBID: DB00589)</a>"	Migraine Disorders (CUI: C0149931)	Lisuride	DB00589	Migraine Disorders	C0149931	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00589"" target=""_blank"">Lisuride (DBID: DB00589)</a>"	Amenorrhea (CUI: C0002453)	Lisuride	DB00589	Amenorrhea	C0002453	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00589"" target=""_blank"">Lisuride (DBID: DB00589)</a>"	Acromegaly (CUI: C0001206)	Lisuride	DB00589	Acromegaly	C0001206	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00590"" target=""_blank"">Doxazosin (DBID: DB00590)</a>"	Hypertensive disease (CUI: C0020538)	Doxazosin	DB00590	Hypertensive disease	C0020538	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00590"" target=""_blank"">Doxazosin (DBID: DB00590)</a>"	Prostatic Hypertrophy (CUI: C1739363)	Doxazosin	DB00590	Prostatic Hypertrophy	C1739363	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00591"" target=""_blank"">Fluocinolone Acetonide (DBID: DB00591)</a>"	Lymphoma, T-Cell, Cutaneous (CUI: C0079773)	Fluocinolone Acetonide	DB00591	Lymphoma, T-Cell, Cutaneous	C0079773	Neoplastic Process	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00591"" target=""_blank"">Fluocinolone Acetonide (DBID: DB00591)</a>"	Exanthema (CUI: C0015230)	Fluocinolone Acetonide	DB00591	Exanthema	C0015230	Sign or Symptom	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00591"" target=""_blank"">Fluocinolone Acetonide (DBID: DB00591)</a>"	Pruritus Ani (CUI: C0033775)	Fluocinolone Acetonide	DB00591	Pruritus Ani	C0033775	Sign or Symptom	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00591"" target=""_blank"">Fluocinolone Acetonide (DBID: DB00591)</a>"	Lupus Erythematosus, Discoid (CUI: C0024138)	Fluocinolone Acetonide	DB00591	Lupus Erythematosus, Discoid	C0024138	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00591"" target=""_blank"">Fluocinolone Acetonide (DBID: DB00591)</a>"	Contact Dermatitis (CUI: C0011616)	Fluocinolone Acetonide	DB00591	Contact Dermatitis	C0011616	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00591"" target=""_blank"">Fluocinolone Acetonide (DBID: DB00591)</a>"	Lichen Simplex Chronicus (CUI: C0149922)	Fluocinolone Acetonide	DB00591	Lichen Simplex Chronicus	C0149922	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00591"" target=""_blank"">Fluocinolone Acetonide (DBID: DB00591)</a>"	Granuloma Annulare (CUI: C0085074)	Fluocinolone Acetonide	DB00591	Granuloma Annulare	C0085074	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00591"" target=""_blank"">Fluocinolone Acetonide (DBID: DB00591)</a>"	Chloasma (CUI: C0025218)	Fluocinolone Acetonide	DB00591	Chloasma	C0025218	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00591"" target=""_blank"">Fluocinolone Acetonide (DBID: DB00591)</a>"	Dermatitis, Atopic (CUI: C0011615)	Fluocinolone Acetonide	DB00591	Dermatitis, Atopic	C0011615	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00591"" target=""_blank"">Fluocinolone Acetonide (DBID: DB00591)</a>"	Chronic small plaque psoriasis (CUI: C0406317)	Fluocinolone Acetonide	DB00591	Chronic small plaque psoriasis	C0406317	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00591"" target=""_blank"">Fluocinolone Acetonide (DBID: DB00591)</a>"	Scalp psoriasis (CUI: C0406326)	Fluocinolone Acetonide	DB00591	Scalp psoriasis	C0406326	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00591"" target=""_blank"">Fluocinolone Acetonide (DBID: DB00591)</a>"	Choroiditis (CUI: C0008526)	Fluocinolone Acetonide	DB00591	Choroiditis	C0008526	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00591"" target=""_blank"">Fluocinolone Acetonide (DBID: DB00591)</a>"	Seborrheic dermatitis (CUI: C0036508)	Fluocinolone Acetonide	DB00591	Seborrheic dermatitis	C0036508	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00591"" target=""_blank"">Fluocinolone Acetonide (DBID: DB00591)</a>"	Pruritus of genital organs (CUI: C0033777)	Fluocinolone Acetonide	DB00591	Pruritus of genital organs	C0033777	Sign or Symptom	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00591"" target=""_blank"">Fluocinolone Acetonide (DBID: DB00591)</a>"	Scurfiness of scalp (CUI: C0423775)	Fluocinolone Acetonide	DB00591	Scurfiness of scalp	C0423775	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00592"" target=""_blank"">Piperazine (DBID: DB00592)</a>"	Enterobiasis (CUI: C0086227)	Piperazine	DB00592	Enterobiasis	C0086227	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00592"" target=""_blank"">Piperazine (DBID: DB00592)</a>"	Ascariasis (CUI: C0003950)	Piperazine	DB00592	Ascariasis	C0003950	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00593"" target=""_blank"">Ethosuximide (DBID: DB00593)</a>"	Absence Epilepsy (CUI: C0014553)	Ethosuximide	DB00593	Absence Epilepsy	C0014553	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00594"" target=""_blank"">Amiloride (DBID: DB00594)</a>"	Edema (CUI: C0013604)	Amiloride	DB00594	Edema	C0013604	Finding	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00594"" target=""_blank"">Amiloride (DBID: DB00594)</a>"	Hypertensive disease (CUI: C0020538)	Amiloride	DB00594	Hypertensive disease	C0020538	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00595"" target=""_blank"">Oxytetracycline (DBID: DB00595)</a>"	Bacterial keratitis (CUI: C0854211)	Oxytetracycline	DB00595	Bacterial keratitis	C0854211	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00595"" target=""_blank"">Oxytetracycline (DBID: DB00595)</a>"	Rocky Mountain Spotted Fever (CUI: C0035793)	Oxytetracycline	DB00595	Rocky Mountain Spotted Fever	C0035793	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00595"" target=""_blank"">Oxytetracycline (DBID: DB00595)</a>"	Lymphogranuloma Venereum (CUI: C0024286)	Oxytetracycline	DB00595	Lymphogranuloma Venereum	C0024286	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00595"" target=""_blank"">Oxytetracycline (DBID: DB00595)</a>"	TYPHUS (CUI: C0041471)	Oxytetracycline	DB00595	TYPHUS	C0041471	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00595"" target=""_blank"">Oxytetracycline (DBID: DB00595)</a>"	Acute gonococcal urethritis (CUI: C0275652)	Oxytetracycline	DB00595	Acute gonococcal urethritis	C0275652	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00595"" target=""_blank"">Oxytetracycline (DBID: DB00595)</a>"	Bacterial conjunctivitis (CUI: C0009768)	Oxytetracycline	DB00595	Bacterial conjunctivitis	C0009768	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00595"" target=""_blank"">Oxytetracycline (DBID: DB00595)</a>"	Brucellosis (CUI: C0006309)	Oxytetracycline	DB00595	Brucellosis	C0006309	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00595"" target=""_blank"">Oxytetracycline (DBID: DB00595)</a>"	Relapsing Fever (CUI: C0035021)	Oxytetracycline	DB00595	Relapsing Fever	C0035021	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00595"" target=""_blank"">Oxytetracycline (DBID: DB00595)</a>"	Actinomycosis (CUI: C0001261)	Oxytetracycline	DB00595	Actinomycosis	C0001261	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00595"" target=""_blank"">Oxytetracycline (DBID: DB00595)</a>"	Chlamydia trachomatis infection of genital structure (CUI: C1997322)	Oxytetracycline	DB00595	Chlamydia trachomatis infection of genital structure	C1997322	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00595"" target=""_blank"">Oxytetracycline (DBID: DB00595)</a>"	Syphilis (CUI: C0039128)	Oxytetracycline	DB00595	Syphilis	C0039128	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00595"" target=""_blank"">Oxytetracycline (DBID: DB00595)</a>"	Acute gonococcal cervicitis (CUI: C0153195)	Oxytetracycline	DB00595	Acute gonococcal cervicitis	C0153195	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00595"" target=""_blank"">Oxytetracycline (DBID: DB00595)</a>"	Infective otitis media (CUI: C0729586)	Oxytetracycline	DB00595	Infective otitis media	C0729586	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00595"" target=""_blank"">Oxytetracycline (DBID: DB00595)</a>"	Pharyngitis (CUI: C0031350)	Oxytetracycline	DB00595	Pharyngitis	C0031350	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00595"" target=""_blank"">Oxytetracycline (DBID: DB00595)</a>"	Psittacosis (CUI: C0029291)	Oxytetracycline	DB00595	Psittacosis	C0029291	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00595"" target=""_blank"">Oxytetracycline (DBID: DB00595)</a>"	Trachoma (CUI: C0040592)	Oxytetracycline	DB00595	Trachoma	C0040592	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00595"" target=""_blank"">Oxytetracycline (DBID: DB00595)</a>"	Gingivostomatitis (CUI: C0149704)	Oxytetracycline	DB00595	Gingivostomatitis	C0149704	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00595"" target=""_blank"">Oxytetracycline (DBID: DB00595)</a>"	Bronchitis (CUI: C0006277)	Oxytetracycline	DB00595	Bronchitis	C0006277	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00595"" target=""_blank"">Oxytetracycline (DBID: DB00595)</a>"	Granuloma Inguinale (CUI: C0018190)	Oxytetracycline	DB00595	Granuloma Inguinale	C0018190	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00595"" target=""_blank"">Oxytetracycline (DBID: DB00595)</a>"	Sinusitis (CUI: C0037199)	Oxytetracycline	DB00595	Sinusitis	C0037199	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00595"" target=""_blank"">Oxytetracycline (DBID: DB00595)</a>"	Acute gonococcal epididymo-orchitis (CUI: C0153193)	Oxytetracycline	DB00595	Acute gonococcal epididymo-orchitis	C0153193	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00595"" target=""_blank"">Oxytetracycline (DBID: DB00595)</a>"	Gonorrhea of rectum (CUI: C0275665)	Oxytetracycline	DB00595	Gonorrhea of rectum	C0275665	Disease or Syndrome	Approved	Approved		
