raw_row_index	drug_name	drugbank_id	compound_entity	disease_name	umls_cui	disease_entity	sem_type	status_raw	trial_status_raw	detailed_status_raw	phase_raw	label	relation	is_positive	is_failed_like	valid_drugbank_and_cui	source_dataset	setting
462	Alclometasone	DB00240	Compound::DB00240	Dermatitis, Atopic	C0011615	Disease::UMLS:C0011615	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
463	Alclometasone	DB00240	Compound::DB00240	Granuloma Annulare	C0085074	Disease::UMLS:C0085074	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
464	Alclometasone	DB00240	Compound::DB00240	Seborrheic dermatitis	C0036508	Disease::UMLS:C0036508	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
465	Alclometasone	DB00240	Compound::DB00240	Scalp psoriasis	C0406326	Disease::UMLS:C0406326	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
466	Alclometasone	DB00240	Compound::DB00240	Lupus Erythematosus, Discoid	C0024138	Disease::UMLS:C0024138	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
467	Alclometasone	DB00240	Compound::DB00240	Pruritus of genital organs	C0033777	Disease::UMLS:C0033777	Sign or Symptom	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
468	Butalbital	DB00241	Compound::DB00241	Tension Headache	C0033893	Disease::UMLS:C0033893	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
469	Cladribine	DB00242	Compound::DB00242	Hairy Cell Leukemia	C0023443	Disease::UMLS:C0023443	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
470	Ranolazine	DB00243	Compound::DB00243	Angina Pectoris	C0002962	Disease::UMLS:C0002962	Finding	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
471	Mesalazine	DB00244	Compound::DB00244	Chronic ulcerative proctitis	C2937222	Disease::UMLS:C2937222	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
472	Mesalazine	DB00244	Compound::DB00244	Ulcerative Colitis	C0009324	Disease::UMLS:C0009324	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
473	Mesalazine	DB00244	Compound::DB00244	Ulcerative colitis in remission	C3697010	Disease::UMLS:C3697010	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
474	Mesalazine	DB00244	Compound::DB00244	Chronic ulcerative rectosigmoiditis	C0267390	Disease::UMLS:C0267390	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
475	Benzatropine	DB00245	Compound::DB00245	Extrapyramidal Disorders	C0015371	Disease::UMLS:C0015371	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
476	Benzatropine	DB00245	Compound::DB00245	Parkinson Disease, Postencephalitic	C0030568	Disease::UMLS:C0030568	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
477	Benzatropine	DB00245	Compound::DB00245	Parkinson Disease	C0030567	Disease::UMLS:C0030567	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
478	Benzatropine	DB00245	Compound::DB00245	Parkinsonian Disorders	C0242422	Disease::UMLS:C0242422	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
479	Ziprasidone	DB00246	Compound::DB00246	Bipolar disorder in remission	C0270425	Disease::UMLS:C0270425	Mental or Behavioral Dysfunction	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
480	Ziprasidone	DB00246	Compound::DB00246	Schizophrenia	C0036341	Disease::UMLS:C0036341	Mental or Behavioral Dysfunction	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
481	Ziprasidone	DB00246	Compound::DB00246	Mixed bipolar I disorder	C0236780	Disease::UMLS:C0236780	Mental or Behavioral Dysfunction	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
482	Ziprasidone	DB00246	Compound::DB00246	Bipolar affective disorder, current episode manic	C0338873	Disease::UMLS:C0338873	Mental or Behavioral Dysfunction	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
483	Cabergoline	DB00248	Compound::DB00248	Hyperprolactinemia	C0020514	Disease::UMLS:C0020514	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
484	Idoxuridine	DB00249	Compound::DB00249	Keratitis, Herpetic	C0019357	Disease::UMLS:C0019357	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
485	Dapsone	DB00250	Compound::DB00250	Acne Vulgaris	C0001144	Disease::UMLS:C0001144	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
486	Dapsone	DB00250	Compound::DB00250	Leprosy	C0023343	Disease::UMLS:C0023343	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
487	Dapsone	DB00250	Compound::DB00250	Dermatitis Herpetiformis	C0011608	Disease::UMLS:C0011608	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
488	Terconazole	DB00251	Compound::DB00251	Candidiasis, Vulvovaginal	C0700345	Disease::UMLS:C0700345	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
489	Phenytoin	DB00252	Compound::DB00252	Status Epilepticus	C0038220	Disease::UMLS:C0038220	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
490	Phenytoin	DB00252	Compound::DB00252	Epilepsy characterized by intractable complex partial seizures	C2711653	Disease::UMLS:C2711653	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
491	Phenytoin	DB00252	Compound::DB00252	Epilepsy	C0014544	Disease::UMLS:C0014544	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
492	Phenytoin	DB00252	Compound::DB00252	Motor cortex epilepsy	C0234978	Disease::UMLS:C0234978	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
493	Phenytoin	DB00252	Compound::DB00252	Epilepsies, Partial	C0014547	Disease::UMLS:C0014547	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
494	Phenytoin	DB00252	Compound::DB00252	Tonic - clonic seizures	C0494475	Disease::UMLS:C0494475	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
495	Phenytoin	DB00252	Compound::DB00252	Lennox-Gastaut syndrome	C0238111	Disease::UMLS:C0238111	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
496	Phenytoin	DB00252	Compound::DB00252	Tonic-Clonic Epilepsy	C0014549	Disease::UMLS:C0014549	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
497	Phenytoin	DB00252	Compound::DB00252	Bipolar disorder in remission	C0270425	Disease::UMLS:C0270425	Mental or Behavioral Dysfunction	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
498	Phenytoin	DB00252	Compound::DB00252	Simple Partial Seizures	C0234974	Disease::UMLS:C0234974	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
499	Medrysone	DB00253	Compound::DB00253	Rosacea	C0035854	Disease::UMLS:C0035854	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
500	Medrysone	DB00253	Compound::DB00253	Iritis	C0022081	Disease::UMLS:C0022081	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
501	Medrysone	DB00253	Compound::DB00253	Punctate keratopathy	C0423234	Disease::UMLS:C0423234	Finding	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
502	Medrysone	DB00253	Compound::DB00253	Iridocyclitis	C0022073	Disease::UMLS:C0022073	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
503	Medrysone	DB00253	Compound::DB00253	Corneal abrasion	C0010032	Disease::UMLS:C0010032	Injury or Poisoning	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
504	Medrysone	DB00253	Compound::DB00253	Uveitis	C0042164	Disease::UMLS:C0042164	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
505	Medrysone	DB00253	Compound::DB00253	Herpes zoster keratitis	C1275687	Disease::UMLS:C1275687	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
506	Medrysone	DB00253	Compound::DB00253	Corneal Ulcer	C0010043	Disease::UMLS:C0010043	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
507	Medrysone	DB00253	Compound::DB00253	Cyclitis	C0010543	Disease::UMLS:C0010543	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
508	Medrysone	DB00253	Compound::DB00253	Allergic Conjunctivitis	C0009766	Disease::UMLS:C0009766	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
509	Doxycycline	DB00254	Compound::DB00254	Acne Vulgaris	C0001144	Disease::UMLS:C0001144	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
510	Doxycycline	DB00254	Compound::DB00254	Infection of skin AND/OR subcutaneous tissue	C0178299	Disease::UMLS:C0178299	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
511	Doxycycline	DB00254	Compound::DB00254	Brucellosis	C0006309	Disease::UMLS:C0006309	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
512	Doxycycline	DB00254	Compound::DB00254	Scrub Typhus	C0036472	Disease::UMLS:C0036472	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
513	Doxycycline	DB00254	Compound::DB00254	Lymphogranuloma Venereum	C0024286	Disease::UMLS:C0024286	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
514	Doxycycline	DB00254	Compound::DB00254	Rocky Mountain Spotted Fever	C0035793	Disease::UMLS:C0035793	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
515	Doxycycline	DB00254	Compound::DB00254	Acute gonococcal cervicitis	C0153195	Disease::UMLS:C0153195	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
516	Doxycycline	DB00254	Compound::DB00254	Chlamydia trachomatis infection of genital structure	C1997322	Disease::UMLS:C1997322	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
517	Doxycycline	DB00254	Compound::DB00254	Cutaneous anthrax	C0003177	Disease::UMLS:C0003177	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
518	Doxycycline	DB00254	Compound::DB00254	Q Fever	C0034362	Disease::UMLS:C0034362	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
519	Doxycycline	DB00254	Compound::DB00254	Acute gonococcal urethritis	C0275652	Disease::UMLS:C0275652	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
520	Doxycycline	DB00254	Compound::DB00254	Actinomycosis	C0001261	Disease::UMLS:C0001261	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
521	Doxycycline	DB00254	Compound::DB00254	Endemic Flea-Borne Typhus	C0041472	Disease::UMLS:C0041472	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
522	Doxycycline	DB00254	Compound::DB00254	TYPHUS	C0041471	Disease::UMLS:C0041471	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
523	Doxycycline	DB00254	Compound::DB00254	Anthrax disease	C0003175	Disease::UMLS:C0003175	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
524	Doxycycline	DB00254	Compound::DB00254	Cholera	C0008354	Disease::UMLS:C0008354	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
525	Doxycycline	DB00254	Compound::DB00254	Tularemia	C0041351	Disease::UMLS:C0041351	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
526	Doxycycline	DB00254	Compound::DB00254	Chancroids	C0007947	Disease::UMLS:C0007947	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
527	Doxycycline	DB00254	Compound::DB00254	GONOCOCCAL INFECTION DISSEMINATED	C0744451	Disease::UMLS:C0744451	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
528	Doxycycline	DB00254	Compound::DB00254	non-gonococcal urethritis (NGU)	C1112709	Disease::UMLS:C1112709	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
529	Doxycycline	DB00254	Compound::DB00254	Pharyngitis	C0031350	Disease::UMLS:C0031350	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
530	Doxycycline	DB00254	Compound::DB00254	Sinusitis	C0037199	Disease::UMLS:C0037199	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
531	Doxycycline	DB00254	Compound::DB00254	Trachoma	C0040592	Disease::UMLS:C0040592	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
532	Doxycycline	DB00254	Compound::DB00254	Boutonneuse Fever	C0006060	Disease::UMLS:C0006060	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
533	Doxycycline	DB00254	Compound::DB00254	Gonorrhea of rectum	C0275665	Disease::UMLS:C0275665	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
534	Doxycycline	DB00254	Compound::DB00254	Yaws	C0043388	Disease::UMLS:C0043388	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
535	Doxycycline	DB00254	Compound::DB00254	Q fever endocarditis	C0340354	Disease::UMLS:C0340354	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
536	Doxycycline	DB00254	Compound::DB00254	Gonorrhea	C0018081	Disease::UMLS:C0018081	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
537	Doxycycline	DB00254	Compound::DB00254	Brill-Zinsser Disease	C0006181	Disease::UMLS:C0006181	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
538	Doxycycline	DB00254	Compound::DB00254	Listeriosis	C0023860	Disease::UMLS:C0023860	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
539	Doxycycline	DB00254	Compound::DB00254	Rickettsia Infections	C0035585	Disease::UMLS:C0035585	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
540	Doxycycline	DB00254	Compound::DB00254	Gonorrhea of pharynx	C0149966	Disease::UMLS:C0149966	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
541	Doxycycline	DB00254	Compound::DB00254	Typhus, Epidemic Louse-Borne	C0041473	Disease::UMLS:C0041473	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
542	Doxycycline	DB00254	Compound::DB00254	Rickettsialpox	C0035597	Disease::UMLS:C0035597	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
543	Doxycycline	DB00254	Compound::DB00254	Acute gonococcal endometritis	C0153196	Disease::UMLS:C0153196	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
544	Doxycycline	DB00254	Compound::DB00254	Acute gonococcal epididymo-orchitis	C0153193	Disease::UMLS:C0153193	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
545	Doxycycline	DB00254	Compound::DB00254	Inhalational anthrax	C0155866	Disease::UMLS:C0155866	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
546	Doxycycline	DB00254	Compound::DB00254	Gastrointestinal anthrax	C0152945	Disease::UMLS:C0152945	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
547	Doxycycline	DB00254	Compound::DB00254	Syphilis	C0039128	Disease::UMLS:C0039128	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
548	Doxycycline	DB00254	Compound::DB00254	Granuloma Inguinale	C0018190	Disease::UMLS:C0018190	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
549	Doxycycline	DB00254	Compound::DB00254	Mycoplasma pneumonia	C0032302	Disease::UMLS:C0032302	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
550	Doxycycline	DB00254	Compound::DB00254	Bronchitis	C0006277	Disease::UMLS:C0006277	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
551	Doxycycline	DB00254	Compound::DB00254	Bartonella Infections	C0004771	Disease::UMLS:C0004771	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
552	Doxycycline	DB00254	Compound::DB00254	Psittacosis	C0029291	Disease::UMLS:C0029291	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
553	Doxycycline	DB00254	Compound::DB00254	Relapsing Fever	C0035021	Disease::UMLS:C0035021	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
554	Doxycycline	DB00254	Compound::DB00254	Pneumonia, Bacterial	C0004626	Disease::UMLS:C0004626	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
555	Doxycycline	DB00254	Compound::DB00254	Chlamydia Infections	C0008149	Disease::UMLS:C0008149	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
556	Clotrimazole	DB00257	Compound::DB00257	Candidiasis, Vulvovaginal	C0700345	Disease::UMLS:C0700345	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
557	Clotrimazole	DB00257	Compound::DB00257	Diaper Rash	C0011974	Disease::UMLS:C0011974	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
558	Clotrimazole	DB00257	Compound::DB00257	Oropharyngeal candidiasis	C0919659	Disease::UMLS:C0919659	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
559	Clotrimazole	DB00257	Compound::DB00257	Tinea corporis (disorder)	C0040252	Disease::UMLS:C0040252	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
560	Clotrimazole	DB00257	Compound::DB00257	Cutaneous Candidiasis	C0006846	Disease::UMLS:C0006846	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
561	Clotrimazole	DB00257	Compound::DB00257	Oral candidiasis	C0006849	Disease::UMLS:C0006849	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
562	Clotrimazole	DB00257	Compound::DB00257	Tinea cruris	C1384589	Disease::UMLS:C1384589	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
563	Clotrimazole	DB00257	Compound::DB00257	Tinea Pedis	C0040259	Disease::UMLS:C0040259	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
564	Clotrimazole	DB00257	Compound::DB00257	Tinea Versicolor	C0040262	Disease::UMLS:C0040262	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
565	Calcium Acetate	DB00258	Compound::DB00258	Disorder of electrolytes	C1704431	Disease::UMLS:C1704431	Pathologic Function	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
566	Calcium Acetate	DB00258	Compound::DB00258	Hypermagnesemia	C0151714	Disease::UMLS:C0151714	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
567	Calcium Acetate	DB00258	Compound::DB00258	Cardiac Arrest	C0018790	Disease::UMLS:C0018790	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
568	Calcium Acetate	DB00258	Compound::DB00258	Hypocalcemia	C0020598	Disease::UMLS:C0020598	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
569	Calcium Acetate	DB00258	Compound::DB00258	Hyperkalemia	C0020461	Disease::UMLS:C0020461	Finding	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
570	Calcium Acetate	DB00258	Compound::DB00258	Hypocalcemic tetany	C0151940	Disease::UMLS:C0151940	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
571	Sulfanilamide	DB00259	Compound::DB00259	Vulvovaginitis	C0042998	Disease::UMLS:C0042998	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
572	Sulfanilamide	DB00259	Compound::DB00259	Candidiasis, Vulvovaginal	C0700345	Disease::UMLS:C0700345	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
573	Cycloserine	DB00260	Compound::DB00260	Escherichia coli urinary tract infection	C0577708	Disease::UMLS:C0577708	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
574	Cycloserine	DB00260	Compound::DB00260	Tuberculosis, Pulmonary	C0041327	Disease::UMLS:C0041327	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
575	Cycloserine	DB00260	Compound::DB00260	Acute tuberculosis	C0275959	Disease::UMLS:C0275959	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
576	Cycloserine	DB00260	Compound::DB00260	Bacterial urinary infection	C0729524	Disease::UMLS:C0729524	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
577	Anagrelide	DB00261	Compound::DB00261	Thrombocythemia, Essential	C0040028	Disease::UMLS:C0040028	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
578	Carmustine	DB00262	Compound::DB00262	Malignant neoplasm of brain	C0153633	Disease::UMLS:C0153633	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
579	Carmustine	DB00262	Compound::DB00262	Multiple Myeloma	C0026764	Disease::UMLS:C0026764	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
580	Carmustine	DB00262	Compound::DB00262	Hodgkin Disease	C0019829	Disease::UMLS:C0019829	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
581	Carmustine	DB00262	Compound::DB00262	Diffuse Large B-Cell Lymphoma	C0079744	Disease::UMLS:C0079744	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
582	Carmustine	DB00262	Compound::DB00262	Lymphoma, Non-Hodgkin	C0024305	Disease::UMLS:C0024305	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
583	Carmustine	DB00262	Compound::DB00262	Malignant Glioma	C0555198	Disease::UMLS:C0555198	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
